":@computed_region_43an_4dx5",":@computed_region_9yqb_tdyd","area_name","area_type","city","county","grade_category","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","location_code","obese_1","obese_2","overweight_1","overweight_2","overweight_or_obese_1","overweight_or_obese_2","region","school_years","state","street_address","zip_code"
"42","2030","SOUTH COLONIE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ALBANY","ALBANY","MIDDLE/HIGH","POINT (-73.8394 42.7316)",,,,,"010601","61","0.107","87","0.152","148","0.259","NORTHEASTERN NEW YORK","2010-2012","NY","102 LORALEE DR","12205"
"41","2030","MENANDS UNION FREE SCHOOL DISTRICT","SCHOOL DISTRICT","MENANDS","ALBANY","DISTRICT TOTAL","POINT (-73.7341 42.6845)",,,,,"010615","26","0.241","20","0.185","46","0.426","NORTHEASTERN NEW YORK","2010-2012","NY","19 WARDS LN","12204"
"41","2030","MENANDS UNION FREE SCHOOL DISTRICT","SCHOOL DISTRICT","MENANDS","ALBANY","ELEMENTARY","POINT (-73.7341 42.6845)",,,,,"010615","20","0.235","15","0.176","35","0.412","NORTHEASTERN NEW YORK","2010-2012","NY","19 WARDS LN","12204"
"41","2030","MENANDS UNION FREE SCHOOL DISTRICT","SCHOOL DISTRICT","MENANDS","ALBANY","MIDDLE/HIGH","POINT (-73.7341 42.6845)",,,,,"010615","6","0.261","5","0.217","11","0.478","NORTHEASTERN NEW YORK","2010-2012","NY","19 WARDS LN","12204"
"1288","2030","NORTH COLONIE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","LATHAM","ALBANY","DISTRICT TOTAL","POINT (-73.7481 42.7289)",,,,,"010623","225","0.136","239","0.145","464","0.281","NORTHEASTERN NEW YORK","2010-2012","NY","91 FIDDLERS LN","12110"
"1288","2030","NORTH COLONIE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","LATHAM","ALBANY","ELEMENTARY","POINT (-73.7481 42.7289)",,,,,"010623","115","0.144","110","0.138","225","0.283","NORTHEASTERN NEW YORK","2010-2012","NY","91 FIDDLERS LN","12110"
"1288","2030","NORTH COLONIE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","LATHAM","ALBANY","MIDDLE/HIGH","POINT (-73.7481 42.7289)",,,,,"010623","110","0.128","139","0.162","249","0.29","NORTHEASTERN NEW YORK","2010-2012","NY","91 FIDDLERS LN","12110"
"13","2030","GREEN ISLAND UNION FREE SCHOOL DISTRICT","SCHOOL DISTRICT","GREEN ISLAND","ALBANY","DISTRICT TOTAL","POINT (-73.6906 42.7462)",,,,,"010701","19","0.198","15","0.156","34","0.354","NORTHEASTERN NEW YORK","2010-2012","NY","171 HUDSON AVE","12183"
"1626","2039","ANDES CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ANDES","DELAWARE","ELEMENTARY","POINT (-74.7791 42.1385)",,,,,"120102",,,,,,,"NORTHEASTERN NEW YORK","2010-2012","NY","85 DELAWARE AVE","13731"
"13","2030","GREEN ISLAND UNION FREE SCHOOL DISTRICT","SCHOOL DISTRICT","GREEN ISLAND","ALBANY","ELEMENTARY","POINT (-73.6906 42.7462)",,,,,"010701","14","0.209","14","0.209","28","0.418","NORTHEASTERN NEW YORK","2010-2012","NY","171 HUDSON AVE","12183"
