":@computed_region_43an_4dx5",":@computed_region_9yqb_tdyd","area_name","area_type","city","county","grade_category","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","location_code","obese_1","obese_2","overweight_1","overweight_2","overweight_or_obese_1","overweight_or_obese_2","region","school_years","state","street_address","zip_code"
"1373","2037","SHERBURNE EARLVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SHERBURNE","CHENANGO","MIDDLE/HIGH","POINT (-75.5007 42.6886)",,,,,"082001","37","0.213","27","0.155","64","0.368","NEW YORK - PENN","2010-2012","NY","15 SCHOOL ST","13460"
"217","2038","AUSABLE VALLEY CENTRAL SCHOOL","SCHOOL DISTRICT","CLINTONVILLE","CLINTON","DISTRICT TOTAL","POINT (-73.576 44.4667)",,,,,"090201","59","0.238","40","0.161","99","0.399","NORTHEASTERN NEW YORK","2010-2012","NY","1273 RT 9N","12924"
"217","2038","AUSABLE VALLEY CENTRAL SCHOOL","SCHOOL DISTRICT","CLINTONVILLE","CLINTON","ELEMENTARY","POINT (-73.576 44.4667)",,,,,"090201","24","0.209","16","0.139","40","0.348","NORTHEASTERN NEW YORK","2010-2012","NY","1273 RT 9N","12924"
"217","2038","AUSABLE VALLEY CENTRAL SCHOOL","SCHOOL DISTRICT","CLINTONVILLE","CLINTON","MIDDLE/HIGH","POINT (-73.576 44.4667)",,,,,"090201","35","0.263","24","0.18","59","0.444","NORTHEASTERN NEW YORK","2010-2012","NY","1273 RT 9N","12924"
"337","2038","BEEKMANTOWN CENTRAL SCHOOL","SCHOOL DISTRICT","WEST CHAZY","CLINTON","DISTRICT TOTAL","POINT (-73.5055 44.7734)",,,,,"090301","125","0.235","99","0.186","224","0.421","NORTHEASTERN NEW YORK","2010-2012","NY","37 EAGLE WAY","12992"
"337","2038","BEEKMANTOWN CENTRAL SCHOOL","SCHOOL DISTRICT","WEST CHAZY","CLINTON","ELEMENTARY","POINT (-73.5055 44.7734)",,,,,"090301","67","0.207","60","0.185","127","0.392","NORTHEASTERN NEW YORK","2010-2012","NY","37 EAGLE WAY","12992"
"337","2038","BEEKMANTOWN CENTRAL SCHOOL","SCHOOL DISTRICT","WEST CHAZY","CLINTON","MIDDLE/HIGH","POINT (-73.5055 44.7734)",,,,,"090301","58","0.278","39","0.187","97","0.464","NORTHEASTERN NEW YORK","2010-2012","NY","37 EAGLE WAY","12992"
"212","2038","NORTHEASTERN CLINTON CENTRAL SCHOOL","SCHOOL DISTRICT","CHAMPLAIN","CLINTON","DISTRICT TOTAL","POINT (-73.4134 44.9907)",,,,,"090501","79","0.22","63","0.175","142","0.396","NORTHEASTERN NEW YORK","2010-2012","NY","103 RT 276","12919"
"212","2038","NORTHEASTERN CLINTON CENTRAL SCHOOL","SCHOOL DISTRICT","CHAMPLAIN","CLINTON","ELEMENTARY","POINT (-73.4134 44.9907)",,,,,"090501","35","0.201","29","0.167","64","0.368","NORTHEASTERN NEW YORK","2010-2012","NY","103 RT 276","12919"
"212","2038","NORTHEASTERN CLINTON CENTRAL SCHOOL","SCHOOL DISTRICT","CHAMPLAIN","CLINTON","MIDDLE/HIGH","POINT (-73.4134 44.9907)",,,,,"090501","44","0.238","34","0.184","78","0.422","NORTHEASTERN NEW YORK","2010-2012","NY","103 RT 276","12919"
"214","2038","CHAZY UNION FREE SCHOOL","SCHOOL DISTRICT","CHAZY","CLINTON","DISTRICT TOTAL","POINT (-73.4345 44.8876)",,,,,"090601","21","0.148","27","0.19","48","0.338","NORTHEASTERN NEW YORK","2010-2012","NY","609 MINER FARM RD","12921"
"214","2038","CHAZY UNION FREE SCHOOL","SCHOOL DISTRICT","CHAZY","CLINTON","ELEMENTARY","POINT (-73.4345 44.8876)",,,,,"090601","5","0.068","14","0.192","19","0.26","NORTHEASTERN NEW YORK","2010-2012","NY","609 MINER FARM RD","12921"
"214","2038","CHAZY UNION FREE SCHOOL","SCHOOL DISTRICT","CHAZY","CLINTON","MIDDLE/HIGH","POINT (-73.4345 44.8876)",,,,,"090601","12","0.2","14","0.233","26","0.433","NORTHEASTERN NEW YORK","2010-2012","NY","609 MINER FARM RD","12921"
"226","2038","NORTHERN ADIRONDACK CENTRAL SCHOOL","SCHOOL DISTRICT","ELLENBURG DEPOT","CLINTON","DISTRICT TOTAL","POINT (-73.7854 44.8607)",,,,,"090901","61","0.223","48","0.176","109","0.399","NORTHEASTERN NEW YORK","2010-2012","NY","5572 RT 11","12935"
"226","2038","NORTHERN ADIRONDACK CENTRAL SCHOOL","SCHOOL DISTRICT","ELLENBURG DEPOT","CLINTON","ELEMENTARY","POINT (-73.7854 44.8607)",,,,,"090901","40","0.256","26","0.167","66","0.423","NORTHEASTERN NEW YORK","2010-2012","NY","5572 RT 11","12935"
"226","2038","NORTHERN ADIRONDACK CENTRAL SCHOOL","SCHOOL DISTRICT","ELLENBURG DEPOT","CLINTON","MIDDLE/HIGH","POINT (-73.7854 44.8607)",,,,,"090901","21","0.188","22","0.196","43","0.384","NORTHEASTERN NEW YORK","2010-2012","NY","5572 RT 11","12935"
"293","2038","PERU CENTRAL SCHOOL","SCHOOL DISTRICT","PERU","CLINTON","DISTRICT TOTAL","POINT (-73.5333 44.5821)",,,,,"091101","56","0.146","69","0.18","125","0.326","NORTHEASTERN NEW YORK","2010-2012","NY","17 SCHOOL ST","12972"
"293","2038","PERU CENTRAL SCHOOL","SCHOOL DISTRICT","PERU","CLINTON","ELEMENTARY","POINT (-73.5333 44.5821)",,,,,"091101","36","0.163","35","0.158","71","0.321","NORTHEASTERN NEW YORK","2010-2012","NY","17 SCHOOL ST","12972"
"293","2038","PERU CENTRAL SCHOOL","SCHOOL DISTRICT","PERU","CLINTON","MIDDLE/HIGH","POINT (-73.5333 44.5821)",,,,,"091101","20","0.123","34","0.21","54","0.333","NORTHEASTERN NEW YORK","2010-2012","NY","17 SCHOOL ST","12972"
"202","2038","PLATTSBURGH CITY SCHOOL DISTRICT","SCHOOL DISTRICT","PLATTSBURGH","CLINTON","DISTRICT TOTAL","POINT (-73.4594 44.6948)",,,,,"091200","112","0.193","108","0.186","220","0.379","NORTHEASTERN NEW YORK","2010-2012","NY","49 BROAD ST","12901"
"202","2038","PLATTSBURGH CITY SCHOOL DISTRICT","SCHOOL DISTRICT","PLATTSBURGH","CLINTON","ELEMENTARY","POINT (-73.4594 44.6948)",,,,,"091200","73","0.189","67","0.173","140","0.362","NORTHEASTERN NEW YORK","2010-2012","NY","49 BROAD ST","12901"
"202","2038","PLATTSBURGH CITY SCHOOL DISTRICT","SCHOOL DISTRICT","PLATTSBURGH","CLINTON","MIDDLE/HIGH","POINT (-73.4594 44.6948)",,,,,"091200","38","0.203","41","0.219","79","0.422","NORTHEASTERN NEW YORK","2010-2012","NY","49 BROAD ST","12901"
"221","2038","SARANAC CENTRAL SCHOOL","SCHOOL DISTRICT","DANNEMORA","CLINTON","DISTRICT TOTAL","POINT (-73.7224 44.7135)",,,,,"091402","71","0.22","70","0.217","141","0.437","NORTHEASTERN NEW YORK","2010-2012","NY","32 EMMONS ST","12929"
"221","2038","SARANAC CENTRAL SCHOOL","SCHOOL DISTRICT","DANNEMORA","CLINTON","ELEMENTARY","POINT (-73.7224 44.7135)",,,,,"091402","24","0.174","41","0.297","65","0.471","NORTHEASTERN NEW YORK","2010-2012","NY","32 EMMONS ST","12929"
"221","2038","SARANAC CENTRAL SCHOOL","SCHOOL DISTRICT","DANNEMORA","CLINTON","MIDDLE/HIGH","POINT (-73.7224 44.7135)",,,,,"091402","47","0.254","29","0.157","76","0.411","NORTHEASTERN NEW YORK","2010-2012","NY","32 EMMONS ST","12929"
"965","619","TACONIC HILLS CENTRAL SCHOOL","SCHOOL DISTRICT","CRARYVILLE","COLUMBIA","DISTRICT TOTAL","POINT (-73.6033 42.1712)",,,,,"100501","59","0.151","68","0.174","127","0.326","NORTHEASTERN NEW YORK","2010-2012","NY","73 COUNTY RT 11A","12521"
"965","619","TACONIC HILLS CENTRAL SCHOOL","SCHOOL DISTRICT","CRARYVILLE","COLUMBIA","ELEMENTARY","POINT (-73.6033 42.1712)",,,,,"100501","30","0.152","29","0.147","59","0.299","NORTHEASTERN NEW YORK","2010-2012","NY","73 COUNTY RT 11A","12521"
"965","619","TACONIC HILLS CENTRAL SCHOOL","SCHOOL DISTRICT","CRARYVILLE","COLUMBIA","MIDDLE/HIGH","POINT (-73.6033 42.1712)",,,,,"100501","29","0.15","39","0.202","68","0.352","NORTHEASTERN NEW YORK","2010-2012","NY","73 COUNTY RT 11A","12521"
"970","619","GERMANTOWN CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","GERMANTOWN","COLUMBIA","DISTRICT TOTAL","POINT (-73.8902 42.1336)",,,,,"100902","29","0.154","25","0.133","54","0.287","NORTHEASTERN NEW YORK","2010-2012","NY","123 MAIN ST","12526"
"970","619","GERMANTOWN CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","GERMANTOWN","COLUMBIA","ELEMENTARY","POINT (-73.8902 42.1336)",,,,,"100902","19","0.145","14","0.107","33","0.252","NORTHEASTERN NEW YORK","2010-2012","NY","123 MAIN ST","12526"
"970","619","GERMANTOWN CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","GERMANTOWN","COLUMBIA","MIDDLE/HIGH","POINT (-73.8902 42.1336)",,,,,"100902","6","0.113","11","0.208","17","0.321","NORTHEASTERN NEW YORK","2010-2012","NY","123 MAIN ST","12526"
"1161","619","CHATHAM CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CHATHAM","COLUMBIA","DISTRICT TOTAL","POINT (-73.6038 42.3589)",,,,,"101001","53","0.153","66","0.19","119","0.343","NORTHEASTERN NEW YORK","2010-2012","NY","50 WOODBRIDGE AVE","12037"
"1161","619","CHATHAM CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CHATHAM","COLUMBIA","ELEMENTARY","POINT (-73.6038 42.3589)",,,,,"101001","22","0.135","27","0.166","49","0.301","NORTHEASTERN NEW YORK","2010-2012","NY","50 WOODBRIDGE AVE","12037"
"1161","619","CHATHAM CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CHATHAM","COLUMBIA","MIDDLE/HIGH","POINT (-73.6038 42.3589)",,,,,"101001","31","0.171","39","0.215","70","0.387","NORTHEASTERN NEW YORK","2010-2012","NY","50 WOODBRIDGE AVE","12037"
"977","619","HUDSON CITY SCHOOLS","SCHOOL DISTRICT","HUDSON","COLUMBIA","DISTRICT TOTAL","POINT (-73.7713 42.26)",,,,,"101300","216","0.268","151","0.188","367","0.456","NORTHEASTERN NEW YORK","2010-2012","NY","215 HARRY HOWARD AVE","12534"
"977","619","HUDSON CITY SCHOOLS","SCHOOL DISTRICT","HUDSON","COLUMBIA","ELEMENTARY","POINT (-73.7713 42.26)",,,,,"101300","142","0.259","95","0.173","237","0.432","NORTHEASTERN NEW YORK","2010-2012","NY","215 HARRY HOWARD AVE","12534"
"977","619","HUDSON CITY SCHOOLS","SCHOOL DISTRICT","HUDSON","COLUMBIA","MIDDLE/HIGH","POINT (-73.7713 42.26)",,,,,"101300","74","0.295","56","0.223","130","0.518","NORTHEASTERN NEW YORK","2010-2012","NY","215 HARRY HOWARD AVE","12534"
"14","619","KINDERHOOK CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","VALATIE","COLUMBIA","DISTRICT TOTAL","POINT (-73.6867 42.4239)",,,,,"101401","76","0.145","104","0.199","180","0.344","NORTHEASTERN NEW YORK","2010-2012","NY","2910 RT 9","12184"
"14","619","KINDERHOOK CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","VALATIE","COLUMBIA","ELEMENTARY","POINT (-73.6867 42.4239)",,,,,"101401","34","0.132","43","0.167","77","0.3","NORTHEASTERN NEW YORK","2010-2012","NY","2910 RT 9","12184"
"14","619","KINDERHOOK CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","VALATIE","COLUMBIA","MIDDLE/HIGH","POINT (-73.6867 42.4239)",,,,,"101401","42","0.158","61","0.229","103","0.387","NORTHEASTERN NEW YORK","2010-2012","NY","2910 RT 9","12184"
"1298","619","NEW LEBANON CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","NEW LEBANON","COLUMBIA","DISTRICT TOTAL","POINT (-73.3798 42.4757)",,,,,"101601","27","0.18","17","0.113","44","0.293","NORTHEASTERN NEW YORK","2010-2012","NY","14665 RT 22","12125"
"1298","619","NEW LEBANON CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","NEW LEBANON","COLUMBIA","ELEMENTARY","POINT (-73.3798 42.4757)",,,,,"101601","11","0.155","10","0.141","21","0.296","NORTHEASTERN NEW YORK","2010-2012","NY","14665 RT 22","12125"
"1298","619","NEW LEBANON CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","NEW LEBANON","COLUMBIA","MIDDLE/HIGH","POINT (-73.3798 42.4757)",,,,,"101601","7","0.101","6","0.087","13","0.188","NORTHEASTERN NEW YORK","2010-2012","NY","14665 RT 22","12125"
"358","620","CINCINNATUS CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CINCINNATUS","CORTLAND","DISTRICT TOTAL","POINT (-75.896 42.5429)",,,,,"110101","38","0.241","16","0.101","54","0.342","CENTRAL NEW YORK","2010-2012","NY","2809 CINCINNATUS RD","13040"
"358","620","CINCINNATUS CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CINCINNATUS","CORTLAND","ELEMENTARY","POINT (-75.896 42.5429)",,,,,"110101","23","0.271","7","0.082","30","0.353","CENTRAL NEW YORK","2010-2012","NY","2809 CINCINNATUS RD","13040"
"358","620","CINCINNATUS CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CINCINNATUS","CORTLAND","MIDDLE/HIGH","POINT (-75.896 42.5429)",,,,,"110101","11","0.183",,,"11","0.183","CENTRAL NEW YORK","2010-2012","NY","2809 CINCINNATUS RD","13040"
"362","620","CORTLAND CITY SCHOOLS","SCHOOL DISTRICT","CORTLAND","CORTLAND","DISTRICT TOTAL","POINT (-76.18 42.5885)",,,,,"110200","112","0.146","147","0.191","259","0.337","CENTRAL NEW YORK","2010-2012","NY","1 VALLEY VIEW DR","13045"
"362","620","CORTLAND CITY SCHOOLS","SCHOOL DISTRICT","CORTLAND","CORTLAND","ELEMENTARY","POINT (-76.18 42.5885)",,,,,"110200","69","0.143","109","0.226","178","0.369","CENTRAL NEW YORK","2010-2012","NY","1 VALLEY VIEW DR","13045"
"362","620","CORTLAND CITY SCHOOLS","SCHOOL DISTRICT","CORTLAND","CORTLAND","MIDDLE/HIGH","POINT (-76.18 42.5885)",,,,,"110200","43","0.153","38","0.135","81","0.288","CENTRAL NEW YORK","2010-2012","NY","1 VALLEY VIEW DR","13045"
"640","620","MCGRAW CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","MCGRAW","CORTLAND","DISTRICT TOTAL","POINT (-76.0955 42.5918)",,,,,"110304","28","0.181","25","0.161","53","0.342","CENTRAL NEW YORK","2010-2012","NY","10 W ACADEMY ST","13101"
"640","620","MCGRAW CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","MCGRAW","CORTLAND","ELEMENTARY","POINT (-76.0955 42.5918)",,,,,"110304","8","0.084","19","0.2","27","0.284","CENTRAL NEW YORK","2010-2012","NY","10 W ACADEMY ST","13101"
"640","620","MCGRAW CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","MCGRAW","CORTLAND","MIDDLE/HIGH","POINT (-76.0955 42.5918)",,,,,"110304","20","0.333","6","0.1","26","0.433","CENTRAL NEW YORK","2010-2012","NY","10 W ACADEMY ST","13101"
"629","620","HOMER CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","HOMER","CORTLAND","DISTRICT TOTAL","POINT (-76.1919 42.6305)",,,,,"110701","131","0.19","110","0.159","241","0.349","CENTRAL NEW YORK","2010-2012","NY","80 S WEST ST","13077"
"629","620","HOMER CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","HOMER","CORTLAND","ELEMENTARY","POINT (-76.1919 42.6305)",,,,,"110701","63","0.169","56","0.15","119","0.319","CENTRAL NEW YORK","2010-2012","NY","80 S WEST ST","13077"
"629","620","HOMER CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","HOMER","CORTLAND","MIDDLE/HIGH","POINT (-76.1919 42.6305)",,,,,"110701","68","0.247","54","0.196","122","0.444","CENTRAL NEW YORK","2010-2012","NY","80 S WEST ST","13077"
"436","620","MARATHON CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","MARATHON","CORTLAND","DISTRICT TOTAL","POINT (-76.0327 42.4418)",,,,,"110901","34","0.219","29","0.187","63","0.406","CENTRAL NEW YORK","2010-2012","NY","1 E MAIN ST","13803"
"436","620","MARATHON CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","MARATHON","CORTLAND","ELEMENTARY","POINT (-76.0327 42.4418)",,,,,"110901","25","0.227","20","0.182","45","0.409","CENTRAL NEW YORK","2010-2012","NY","1 E MAIN ST","13803"
"436","620","MARATHON CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","MARATHON","CORTLAND","MIDDLE/HIGH","POINT (-76.0327 42.4418)",,,,,"110901","23","0.217","27","0.255","50","0.472","CENTRAL NEW YORK","2010-2012","NY","1 E MAIN ST","13803"
"1626","2039","ANDES CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ANDES","DELAWARE","DISTRICT TOTAL","POINT (-74.7791 42.1385)",,,,,"120102","5","0.5",,,"5","0.5","NORTHEASTERN NEW YORK","2010-2012","NY","85 DELAWARE AVE","13731"
"385","2039","DOWNSVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DOWNSVILLE","DELAWARE","DISTRICT TOTAL","POINT (-75.0057 42.0727)",,,,,"120301","23","0.223","25","0.243","48","0.466","NORTHEASTERN NEW YORK","2010-2012","NY","14784 STATE HWY 30","13755"
"385","2039","DOWNSVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DOWNSVILLE","DELAWARE","ELEMENTARY","POINT (-75.0057 42.0727)",,,,,"120301","5","0.104","13","0.271","18","0.375","NORTHEASTERN NEW YORK","2010-2012","NY","14784 STATE HWY 30","13755"
"385","2039","DOWNSVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DOWNSVILLE","DELAWARE","MIDDLE/HIGH","POINT (-75.0057 42.0727)",,,,,"120301","14","0.333","12","0.286","26","0.619","NORTHEASTERN NEW YORK","2010-2012","NY","14784 STATE HWY 30","13755"
"380","2039","CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DAVENPORT","DELAWARE","DISTRICT TOTAL","POINT (-74.848 42.4702)",,,,,"120401","24","0.245","20","0.204","44","0.449","NORTHEASTERN NEW YORK","2010-2012","NY","15611 ST HWY 23","13750"
"380","2039","CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DAVENPORT","DELAWARE","ELEMENTARY","POINT (-74.848 42.4702)",,,,,"120401","19","0.38","12","0.24","31","0.62","NORTHEASTERN NEW YORK","2010-2012","NY","15611 ST HWY 23","13750"
"380","2039","CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DAVENPORT","DELAWARE","MIDDLE/HIGH","POINT (-74.848 42.4702)",,,,,"120401",,,,,,,"NORTHEASTERN NEW YORK","2010-2012","NY","15611 ST HWY 23","13750"
"383","2039","DELHI CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DELHI","DELAWARE","DISTRICT TOTAL","POINT (-74.9163 42.2737)",,,,,"120501","40","0.167","49","0.205","89","0.372","NORTHEASTERN NEW YORK","2010-2012","NY","2 SHELDON DR","13753"
"383","2039","DELHI CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DELHI","DELAWARE","ELEMENTARY","POINT (-74.9163 42.2737)",,,,,"120501","11","0.096","30","0.261","41","0.357","NORTHEASTERN NEW YORK","2010-2012","NY","2 SHELDON DR","13753"
"383","2039","DELHI CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DELHI","DELAWARE","MIDDLE/HIGH","POINT (-74.9163 42.2737)",,,,,"120501","29","0.248","19","0.162","48","0.41","NORTHEASTERN NEW YORK","2010-2012","NY","2 SHELDON DR","13753"
"390","2039","FRANKLIN CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","FRANKLIN","DELAWARE","DISTRICT TOTAL","POINT (-75.1637 42.3429)",,,,,"120701","29","0.257","28","0.248","57","0.504","NORTHEASTERN NEW YORK","2010-2012","NY","26 INSTITUTE ST","13775"
"390","2039","FRANKLIN CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","FRANKLIN","DELAWARE","ELEMENTARY","POINT (-75.1637 42.3429)",,,,,"120701","15","0.242","15","0.242","30","0.484","NORTHEASTERN NEW YORK","2010-2012","NY","26 INSTITUTE ST","13775"
"390","2039","FRANKLIN CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","FRANKLIN","DELAWARE","MIDDLE/HIGH","POINT (-75.1637 42.3429)",,,,,"120701","14","0.275","13","0.255","27","0.529","NORTHEASTERN NEW YORK","2010-2012","NY","26 INSTITUTE ST","13775"
"396","2039","HANCOCK CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","HANCOCK","DELAWARE","DISTRICT TOTAL","POINT (-75.2785 41.955)",,,,,"120906","42","0.333","22","0.175","64","0.508","NORTHEASTERN NEW YORK","2010-2012","NY","67 EDUCATION LN","13783"
"396","2039","HANCOCK CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","HANCOCK","DELAWARE","ELEMENTARY","POINT (-75.2785 41.955)",,,,,"120906","19","0.432","5","0.114","24","0.545","NORTHEASTERN NEW YORK","2010-2012","NY","67 EDUCATION LN","13783"
"396","2039","HANCOCK CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","HANCOCK","DELAWARE","MIDDLE/HIGH","POINT (-75.2785 41.955)",,,,,"120906","23","0.329","13","0.186","36","0.514","NORTHEASTERN NEW YORK","2010-2012","NY","67 EDUCATION LN","13783"
"249","2039","MARGARETVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","MARGARETVILLE","DELAWARE","DISTRICT TOTAL","POINT (-74.6532 42.1454)",,,,,"121401","6","0.182","5","0.152","11","0.333","NORTHEASTERN NEW YORK","2010-2012","NY","415 MAIN ST","12455"
"249","2039","MARGARETVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","MARGARETVILLE","DELAWARE","ELEMENTARY","POINT (-74.6532 42.1454)",,,,,"121401","6","0.261",,,"6","0.261","NORTHEASTERN NEW YORK","2010-2012","NY","415 MAIN ST","12455"
"249","2039","MARGARETVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","MARGARETVILLE","DELAWARE","MIDDLE/HIGH","POINT (-74.6532 42.1454)",,,,,"121401",,,"5","0.5","5","0.5","NORTHEASTERN NEW YORK","2010-2012","NY","415 MAIN ST","12455"
"266","2039","ROXBURY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ROXBURY","DELAWARE","DISTRICT TOTAL","POINT (-74.5643 42.286)",,,,,"121502","32","0.256","21","0.168","53","0.424","NORTHEASTERN NEW YORK","2010-2012","NY","53729 NYS RT 30","12474"
"266","2039","ROXBURY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ROXBURY","DELAWARE","ELEMENTARY","POINT (-74.5643 42.286)",,,,,"121502","17","0.221","10","0.13","27","0.351","NORTHEASTERN NEW YORK","2010-2012","NY","53729 NYS RT 30","12474"
"266","2039","ROXBURY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ROXBURY","DELAWARE","MIDDLE/HIGH","POINT (-74.5643 42.286)",,,,,"121502","15","0.429","5","0.143","20","0.571","NORTHEASTERN NEW YORK","2010-2012","NY","53729 NYS RT 30","12474"
"456","2039","SIDNEY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SIDNEY","DELAWARE","DISTRICT TOTAL","POINT (-75.3892 42.3045)",,,,,"121601","67","0.208","65","0.202","132","0.41","NORTHEASTERN NEW YORK","2010-2012","NY","95 W MAIN ST","13838"
"456","2039","SIDNEY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SIDNEY","DELAWARE","ELEMENTARY","POINT (-75.3892 42.3045)",,,,,"121601","36","0.208","25","0.145","61","0.353","NORTHEASTERN NEW YORK","2010-2012","NY","95 W MAIN ST","13838"
"456","2039","SIDNEY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SIDNEY","DELAWARE","MIDDLE/HIGH","POINT (-75.3892 42.3045)",,,,,"121601","31","0.208","40","0.268","71","0.477","NORTHEASTERN NEW YORK","2010-2012","NY","95 W MAIN ST","13838"
"1412","2039","STAMFORD CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","STAMFORD","DELAWARE","DISTRICT TOTAL","POINT (-74.6211 42.4108)",,,,,"121701","28","0.194","25","0.174","53","0.368","NORTHEASTERN NEW YORK","2010-2012","NY","1 RIVER ST","12167"
"1412","2039","STAMFORD CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","STAMFORD","DELAWARE","ELEMENTARY","POINT (-74.6211 42.4108)",,,,,"121701","20","0.206","18","0.186","38","0.392","NORTHEASTERN NEW YORK","2010-2012","NY","1 RIVER ST","12167"
"1412","2039","STAMFORD CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","STAMFORD","DELAWARE","MIDDLE/HIGH","POINT (-74.6211 42.4108)",,,,,"121701","15","0.273","5","0.091","20","0.364","NORTHEASTERN NEW YORK","2010-2012","NY","1 RIVER ST","12167"
"459","2039","SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SOUTH KORTRIGHT","DELAWARE","DISTRICT TOTAL","POINT (-74.6997 42.352)",,,,,"121702","19","0.181","19","0.181","38","0.362","NORTHEASTERN NEW YORK","2010-2012","NY","58200 STATE HWY 10","13842"
"459","2039","SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SOUTH KORTRIGHT","DELAWARE","ELEMENTARY","POINT (-74.6997 42.352)",,,,,"121702","14","0.189","12","0.162","26","0.351","NORTHEASTERN NEW YORK","2010-2012","NY","58200 STATE HWY 10","13842"
"459","2039","SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SOUTH KORTRIGHT","DELAWARE","MIDDLE/HIGH","POINT (-74.6997 42.352)",,,,,"121702",,,,,,,"NORTHEASTERN NEW YORK","2010-2012","NY","58200 STATE HWY 10","13842"
"467","2039","WALTON CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","WALTON","DELAWARE","DISTRICT TOTAL","POINT (-75.1239 42.1609)",,,,,"121901","88","0.219","64","0.16","152","0.379","NORTHEASTERN NEW YORK","2010-2012","NY","47-49 STOCKTON AVE","13856"
"467","2039","WALTON CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","WALTON","DELAWARE","ELEMENTARY","POINT (-75.1239 42.1609)",,,,,"121901","45","0.185","40","0.165","85","0.35","NORTHEASTERN NEW YORK","2010-2012","NY","47-49 STOCKTON AVE","13856"
"467","2039","WALTON CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","WALTON","DELAWARE","MIDDLE/HIGH","POINT (-75.1239 42.1609)",,,,,"121901","43","0.272","24","0.152","67","0.424","NORTHEASTERN NEW YORK","2010-2012","NY","47-49 STOCKTON AVE","13856"
